000.0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
002.5 0.131 0.000 0.125 0.310 0.000 0.256 0.000 0.377 0.188 0.202 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
005.0 0.306 0.164 0.278 0.632 0.123 0.353 0.000 0.723 0.295 0.402 0.000 0.000 0.151 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
007.5 0.450 0.242 0.412 0.890 0.187 0.528 0.000 0.871 0.393 0.577 0.000 0.000 0.231 0.000 0.000 0.096 0.000 0.000 0.000 0.000 0.000 0.000 0.000
010.0 0.737 0.327 0.533 1.069 0.242 0.581 0.102 0.807 0.472 0.643 0.000 0.000 0.257 0.000 0.000 0.114 0.000 0.000 0.000 0.000 0.000 0.000 0.000
012.5 0.730 0.327 0.549 1.124 0.252 0.567 0.105 0.804 0.423 0.616 0.000 0.000 0.262 0.000 0.000 0.112 0.000 0.000 0.000 0.000 0.000 0.000 0.000
015.0 0.699 0.320 0.546 1.089 0.250 0.531 0.102 0.819 0.414 0.613 0.000 0.000 0.272 0.000 0.000 0.112 0.000 0.000 0.000 0.000 0.000 0.000 0.000
017.5 0.656 0.311 0.499 1.054 0.244 0.504 0.098 0.822 0.408 0.606 0.000 0.000 0.275 0.000 0.000 0.111 0.000 0.000 0.000 0.000 0.000 0.000 0.000
020.0 0.654 0.309 0.488 1.048 0.235 0.509 0.097 0.839 0.415 0.621 0.000 0.000 0.283 0.000 0.000 0.113 0.000 0.000 0.000 0.000 0.000 0.000 0.000
022.5 0.670 0.317 0.489 1.075 0.236 0.525 0.099 0.863 0.445 0.669 0.000 0.000 0.295 0.000 0.000 0.118 0.000 0.000 0.000 0.000 0.000 0.000 0.000
025.0 0.708 0.340 0.527 1.152 0.252 0.559 0.163 0.887 0.465 0.712 0.000 0.000 0.326 0.000 0.000 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.000
027.5 0.757 0.368 0.551 1.216 0.273 0.601 0.162 0.950 0.511 0.781 0.000 0.000 0.377 0.000 0.094 0.139 0.000 0.000 0.000 0.000 0.000 0.000 0.000
030.0 0.769 0.372 0.549 1.217 0.273 0.622 0.133 0.956 0.543 0.816 0.000 0.000 0.420 0.000 0.099 0.166 0.000 0.092 0.000 0.000 0.091 0.000 0.000
032.5 0.840 0.427 0.613 1.294 0.304 0.682 0.153 0.999 0.646 0.898 0.000 0.000 0.525 0.000 0.132 0.253 0.124 0.145 0.142 0.000 0.120 0.000 0.000
035.0 0.897 0.478 0.646 1.347 0.336 0.735 0.175 1.038 0.710 0.970 0.000 0.000 0.588 0.000 0.146 0.313 0.151 0.178 0.174 0.000 0.136 0.000 0.000
037.5 0.932 0.511 0.671 1.404 0.353 0.754 0.184 1.061 0.754 1.021 0.000 0.000 0.626 0.000 0.152 0.373 0.164 0.198 0.189 0.000 0.144 0.000 0.000
040.0 0.960 0.535 0.678 1.441 0.362 0.765 0.189 1.084 0.793 1.065 0.000 0.000 0.656 0.000 0.157 0.426 0.174 0.216 0.200 0.000 0.150 0.000 0.000
042.5 0.975 0.567 0.678 1.451 0.366 0.771 0.192 1.093 0.818 1.094 0.000 0.000 0.675 0.000 0.161 0.461 0.181 0.228 0.207 0.000 0.155 0.000 0.000
045.0 0.995 0.594 0.715 1.479 0.384 0.785 0.198 1.106 0.843 1.116 0.000 0.000 0.693 0.000 0.163 0.490 0.187 0.243 0.212 0.000 0.158 0.000 0.000
047.5 1.012 0.616 0.737 1.489 0.401 0.792 0.201 1.112 0.864 1.134 0.000 0.000 0.720 0.000 0.166 0.524 0.193 0.303 0.225 0.000 0.163 0.000 0.000
050.0 1.036 0.644 0.764 1.508 0.423 0.802 0.207 1.123 0.890 1.158 0.000 0.000 0.763 0.000 0.170 0.569 0.204 0.389 0.245 0.000 0.173 0.000 0.000
052.5 1.061 0.672 0.806 1.555 0.444 0.811 0.212 1.135 0.916 1.181 0.000 0.000 0.804 0.000 0.175 0.612 0.216 0.458 0.266 0.000 0.182 0.000 0.000
055.0 1.084 0.698 0.830 1.575 0.465 0.819 0.218 1.146 0.939 1.201 0.000 0.000 0.835 0.000 0.180 0.643 0.226 0.503 0.281 0.000 0.189 0.000 0.000
057.5 1.093 0.717 0.837 1.575 0.477 0.819 0.222 1.148 0.954 1.211 0.000 0.000 0.854 0.000 0.182 0.664 0.232 0.531 0.291 0.000 0.193 0.000 0.000
060.0 1.104 0.734 0.850 1.583 0.491 0.822 0.226 1.152 0.967 1.220 0.000 0.000 0.869 0.000 0.184 0.678 0.237 0.549 0.298 0.000 0.196 0.000 0.000
062.5 1.110 0.748 0.857 1.584 0.501 0.821 0.229 1.152 0.976 1.225 0.000 0.000 0.879 0.000 0.185 0.687 0.240 0.561 0.302 0.000 0.198 0.000 0.000
065.0 1.114 0.760 0.861 1.583 0.510 0.819 0.232 1.153 0.984 1.229 0.000 0.000 0.885 0.000 0.186 0.694 0.242 0.568 0.305 0.000 0.200 0.000 0.000
